Threadpool with n_jobs=1 executed in 20.24575 seconds, res=1.000000006998454
	Integrated [0.00, 1.57] from 0.000 to 20.246 seconds
Processpool with n_jobs=1 executed in 21.17906 seconds, res=1.000000006998454
	Integrated [0.00, 1.57] from 0.915 to 21.095 seconds
Threadpool with n_jobs=2 executed in 20.28426 seconds, res=1.0000000069982113
	Integrated [0.00, 0.79] from 0.000 to 19.774 seconds
	Integrated [0.79, 1.57] from 0.019 to 20.284 seconds
Processpool with n_jobs=2 executed in 12.36824 seconds, res=1.0000000069982113
	Integrated [0.00, 0.79] from 1.015 to 11.606 seconds
	Integrated [0.79, 1.57] from 1.015 to 12.247 seconds
Threadpool with n_jobs=3 executed in 20.24736 seconds, res=1.0000000069983315
	Integrated [0.00, 0.52] from 0.000 to 19.862 seconds
	Integrated [0.52, 1.05] from 0.018 to 20.140 seconds
	Integrated [1.05, 1.57] from 0.043 to 20.247 seconds
Processpool with n_jobs=3 executed in 9.07725 seconds, res=1.0000000069983315
	Integrated [0.00, 0.52] from 0.996 to 8.402 seconds
	Integrated [0.52, 1.05] from 1.000 to 8.821 seconds
	Integrated [1.05, 1.57] from 1.000 to 8.939 seconds
Threadpool with n_jobs=4 executed in 20.52809 seconds, res=1.000000006998326
	Integrated [0.00, 0.39] from 0.000 to 19.801 seconds
	Integrated [0.39, 0.79] from 0.019 to 19.828 seconds
	Integrated [0.79, 1.18] from 0.043 to 20.528 seconds
	Integrated [1.18, 1.57] from 0.081 to 20.485 seconds
Processpool with n_jobs=4 executed in 7.42616 seconds, res=1.000000006998326
	Integrated [0.00, 0.39] from 1.028 to 7.039 seconds
	Integrated [0.39, 0.79] from 1.030 to 7.034 seconds
	Integrated [0.79, 1.18] from 1.031 to 7.233 seconds
	Integrated [1.18, 1.57] from 1.032 to 7.263 seconds
Threadpool with n_jobs=5 executed in 20.55886 seconds, res=1.0000000069982649
	Integrated [0.00, 0.31] from 0.000 to 20.559 seconds
	Integrated [0.31, 0.63] from 0.019 to 20.268 seconds
	Integrated [0.63, 0.94] from 0.044 to 20.496 seconds
	Integrated [0.94, 1.26] from 0.113 to 20.535 seconds
	Integrated [1.26, 1.57] from 0.170 to 20.184 seconds
Processpool with n_jobs=5 executed in 6.51593 seconds, res=1.0000000069982649
	Integrated [0.00, 0.31] from 1.053 to 6.127 seconds
	Integrated [0.31, 0.63] from 1.070 to 5.965 seconds
	Integrated [0.63, 0.94] from 1.071 to 6.144 seconds
	Integrated [0.94, 1.26] from 1.071 to 6.244 seconds
	Integrated [1.26, 1.57] from 1.072 to 6.325 seconds
Threadpool with n_jobs=6 executed in 20.68724 seconds, res=1.0000000069983292
	Integrated [0.00, 0.26] from 0.000 to 20.270 seconds
	Integrated [0.26, 0.52] from 0.018 to 19.912 seconds
	Integrated [0.52, 0.79] from 0.035 to 19.849 seconds
	Integrated [0.79, 1.05] from 0.054 to 20.445 seconds
	Integrated [1.05, 1.31] from 0.092 to 20.687 seconds
	Integrated [1.31, 1.57] from 0.135 to 20.557 seconds
Processpool with n_jobs=6 executed in 5.88867 seconds, res=1.0000000069983292
	Integrated [0.00, 0.26] from 1.075 to 5.403 seconds
	Integrated [0.26, 0.52] from 1.080 to 5.647 seconds
	Integrated [0.52, 0.79] from 1.091 to 5.436 seconds
	Integrated [0.79, 1.05] from 1.091 to 5.583 seconds
	Integrated [1.05, 1.31] from 1.091 to 5.547 seconds
	Integrated [1.31, 1.57] from 1.092 to 5.673 seconds
Threadpool with n_jobs=7 executed in 20.68975 seconds, res=1.0000000069982484
	Integrated [0.00, 0.22] from 0.000 to 20.620 seconds
	Integrated [0.22, 0.45] from 0.019 to 20.135 seconds
	Integrated [0.45, 0.67] from 0.051 to 19.992 seconds
	Integrated [0.67, 0.90] from 0.088 to 20.668 seconds
	Integrated [0.90, 1.12] from 0.131 to 20.651 seconds
	Integrated [1.12, 1.35] from 0.206 to 20.553 seconds
	Integrated [1.35, 1.57] from 0.246 to 20.689 seconds
Processpool with n_jobs=7 executed in 5.41146 seconds, res=1.0000000069982484
	Integrated [0.00, 0.22] from 1.140 to 4.882 seconds
	Integrated [0.22, 0.45] from 1.140 to 4.978 seconds
	Integrated [0.45, 0.67] from 1.144 to 4.990 seconds
	Integrated [0.67, 0.90] from 1.144 to 5.042 seconds
	Integrated [0.90, 1.12] from 1.144 to 5.142 seconds
	Integrated [1.12, 1.35] from 1.145 to 5.057 seconds
	Integrated [1.35, 1.57] from 1.145 to 5.176 seconds
Threadpool with n_jobs=8 executed in 21.07096 seconds, res=1.0000000069982864
	Integrated [0.00, 0.20] from 0.000 to 20.449 seconds
	Integrated [0.20, 0.39] from 0.018 to 19.777 seconds
	Integrated [0.39, 0.59] from 0.043 to 20.455 seconds
	Integrated [0.59, 0.79] from 0.091 to 20.611 seconds
	Integrated [0.79, 0.98] from 0.147 to 20.747 seconds
	Integrated [0.98, 1.18] from 0.172 to 21.071 seconds
	Integrated [1.18, 1.37] from 0.210 to 20.998 seconds
	Integrated [1.37, 1.57] from 0.264 to 20.774 seconds
Processpool with n_jobs=8 executed in 5.34259 seconds, res=1.0000000069982864
	Integrated [0.00, 0.20] from 1.212 to 4.624 seconds
	Integrated [0.20, 0.39] from 1.213 to 4.676 seconds
	Integrated [0.39, 0.59] from 1.213 to 4.619 seconds
	Integrated [0.59, 0.79] from 1.216 to 4.687 seconds
	Integrated [0.79, 0.98] from 1.216 to 4.914 seconds
	Integrated [0.98, 1.18] from 1.217 to 4.779 seconds
	Integrated [1.18, 1.37] from 1.218 to 5.071 seconds
	Integrated [1.37, 1.57] from 1.218 to 4.830 seconds
Threadpool with n_jobs=9 executed in 20.72179 seconds, res=1.000000006998218
	Integrated [0.00, 0.17] from 0.000 to 20.687 seconds
	Integrated [0.17, 0.35] from 0.018 to 20.564 seconds
	Integrated [0.35, 0.52] from 0.043 to 18.974 seconds
	Integrated [0.52, 0.70] from 0.068 to 19.267 seconds
	Integrated [0.70, 0.87] from 0.105 to 20.239 seconds
	Integrated [0.87, 1.05] from 0.186 to 20.559 seconds
	Integrated [1.05, 1.22] from 0.234 to 20.301 seconds
	Integrated [1.22, 1.40] from 0.393 to 20.710 seconds
	Integrated [1.40, 1.57] from 0.418 to 20.721 seconds
Processpool with n_jobs=9 executed in 5.37720 seconds, res=1.000000006998218
	Integrated [0.00, 0.17] from 1.195 to 4.776 seconds
	Integrated [0.17, 0.35] from 1.230 to 4.770 seconds
	Integrated [0.35, 0.52] from 1.235 to 4.910 seconds
	Integrated [0.52, 0.70] from 1.249 to 4.905 seconds
	Integrated [0.70, 0.87] from 1.260 to 4.867 seconds
	Integrated [0.87, 1.05] from 1.290 to 4.990 seconds
	Integrated [1.05, 1.22] from 1.317 to 4.841 seconds
	Integrated [1.22, 1.40] from 1.336 to 5.032 seconds
	Integrated [1.40, 1.57] from 1.382 to 5.070 seconds
Threadpool with n_jobs=10 executed in 20.86394 seconds, res=1.00000000699826
	Integrated [0.00, 0.16] from 0.000 to 19.441 seconds
	Integrated [0.16, 0.31] from 0.018 to 20.322 seconds
	Integrated [0.31, 0.47] from 0.037 to 19.294 seconds
	Integrated [0.47, 0.63] from 0.061 to 20.004 seconds
	Integrated [0.63, 0.79] from 0.105 to 20.418 seconds
	Integrated [0.79, 0.94] from 0.192 to 20.864 seconds
	Integrated [0.94, 1.10] from 0.241 to 20.536 seconds
	Integrated [1.10, 1.26] from 0.375 to 20.806 seconds
	Integrated [1.26, 1.41] from 0.438 to 20.652 seconds
	Integrated [1.41, 1.57] from 0.493 to 20.837 seconds
Processpool with n_jobs=10 executed in 5.89420 seconds, res=1.00000000699826
	Integrated [0.00, 0.16] from 1.272 to 5.258 seconds
	Integrated [0.16, 0.31] from 1.299 to 4.988 seconds
	Integrated [0.31, 0.47] from 1.390 to 5.138 seconds
	Integrated [0.47, 0.63] from 1.391 to 5.122 seconds
	Integrated [0.63, 0.79] from 1.397 to 5.202 seconds
	Integrated [0.79, 0.94] from 1.436 to 5.560 seconds
	Integrated [0.94, 1.10] from 1.448 to 4.912 seconds
	Integrated [1.10, 1.26] from 1.474 to 5.199 seconds
	Integrated [1.26, 1.41] from 1.504 to 5.410 seconds
	Integrated [1.41, 1.57] from 1.514 to 5.373 seconds
Threadpool with n_jobs=11 executed in 20.92181 seconds, res=1.000000006998234
	Integrated [0.00, 0.14] from 0.000 to 20.332 seconds
	Integrated [0.14, 0.29] from 0.019 to 19.434 seconds
	Integrated [0.29, 0.43] from 0.043 to 19.856 seconds
	Integrated [0.43, 0.57] from 0.080 to 20.371 seconds
	Integrated [0.57, 0.71] from 0.105 to 19.368 seconds
	Integrated [0.71, 0.86] from 0.136 to 20.768 seconds
	Integrated [0.86, 1.00] from 0.204 to 20.792 seconds
	Integrated [1.00, 1.14] from 0.332 to 20.819 seconds
	Integrated [1.14, 1.29] from 0.505 to 20.921 seconds
	Integrated [1.29, 1.43] from 0.573 to 20.477 seconds
	Integrated [1.43, 1.57] from 0.652 to 20.309 seconds
Processpool with n_jobs=11 executed in 5.91723 seconds, res=1.000000006998234
	Integrated [0.00, 0.14] from 1.463 to 5.212 seconds
	Integrated [0.14, 0.29] from 1.515 to 5.483 seconds
	Integrated [0.29, 0.43] from 1.517 to 5.417 seconds
	Integrated [0.43, 0.57] from 1.532 to 5.387 seconds
	Integrated [0.57, 0.71] from 1.538 to 5.506 seconds
	Integrated [0.71, 0.86] from 1.541 to 5.496 seconds
	Integrated [0.86, 1.00] from 1.551 to 5.437 seconds
	Integrated [1.00, 1.14] from 1.556 to 5.371 seconds
	Integrated [1.14, 1.29] from 1.557 to 5.549 seconds
	Integrated [1.29, 1.43] from 1.575 to 5.505 seconds
	Integrated [1.43, 1.57] from 1.584 to 5.416 seconds
Threadpool with n_jobs=12 executed in 21.66337 seconds, res=1.000000006998275
	Integrated [0.00, 0.13] from 0.000 to 18.193 seconds
	Integrated [0.13, 0.26] from 0.018 to 21.339 seconds
	Integrated [0.26, 0.39] from 0.056 to 20.214 seconds
	Integrated [0.39, 0.52] from 0.099 to 19.720 seconds
	Integrated [0.52, 0.65] from 0.153 to 21.463 seconds
	Integrated [0.65, 0.79] from 0.177 to 20.796 seconds
	Integrated [0.79, 0.92] from 0.236 to 21.426 seconds
	Integrated [0.92, 1.05] from 0.414 to 21.079 seconds
	Integrated [1.05, 1.18] from 0.471 to 21.479 seconds
	Integrated [1.18, 1.31] from 0.641 to 21.565 seconds
	Integrated [1.31, 1.44] from 0.900 to 21.443 seconds
	Integrated [1.44, 1.57] from 0.985 to 21.663 seconds
Processpool with n_jobs=12 executed in 6.12633 seconds, res=1.000000006998275
	Integrated [0.00, 0.13] from 1.457 to 5.235 seconds
	Integrated [0.13, 0.26] from 1.588 to 5.301 seconds
	Integrated [0.26, 0.39] from 1.589 to 5.352 seconds
	Integrated [0.39, 0.52] from 1.616 to 5.371 seconds
	Integrated [0.52, 0.65] from 1.634 to 5.145 seconds
	Integrated [0.65, 0.79] from 1.637 to 5.518 seconds
	Integrated [0.79, 0.92] from 1.649 to 5.459 seconds
	Integrated [0.92, 1.05] from 1.650 to 5.712 seconds
	Integrated [1.05, 1.18] from 1.661 to 5.626 seconds
	Integrated [1.18, 1.31] from 1.666 to 5.371 seconds
	Integrated [1.31, 1.44] from 1.704 to 5.542 seconds
	Integrated [1.44, 1.57] from 1.721 to 5.569 seconds
Threadpool with n_jobs=13 executed in 20.75969 seconds, res=1.0000000069982318
	Integrated [0.00, 0.12] from 0.000 to 20.067 seconds
	Integrated [0.12, 0.24] from 0.018 to 20.555 seconds
	Integrated [0.24, 0.36] from 0.056 to 20.275 seconds
	Integrated [0.36, 0.48] from 0.093 to 20.219 seconds
	Integrated [0.48, 0.60] from 0.148 to 18.854 seconds
	Integrated [0.60, 0.72] from 0.203 to 20.753 seconds
	Integrated [0.72, 0.85] from 0.251 to 20.282 seconds
	Integrated [0.85, 0.97] from 0.318 to 20.759 seconds
	Integrated [0.97, 1.09] from 0.417 to 18.794 seconds
	Integrated [1.09, 1.21] from 0.571 to 19.518 seconds
	Integrated [1.21, 1.33] from 0.701 to 20.536 seconds
	Integrated [1.33, 1.45] from 0.894 to 20.755 seconds
	Integrated [1.45, 1.57] from 1.010 to 19.777 seconds
Processpool with n_jobs=13 executed in 6.23473 seconds, res=1.0000000069982318
	Integrated [0.00, 0.12] from 1.702 to 5.553 seconds
	Integrated [0.12, 0.24] from 1.704 to 5.598 seconds
	Integrated [0.24, 0.36] from 1.708 to 5.639 seconds
	Integrated [0.36, 0.48] from 1.738 to 5.578 seconds
	Integrated [0.48, 0.60] from 1.750 to 5.654 seconds
	Integrated [0.60, 0.72] from 1.780 to 5.572 seconds
	Integrated [0.72, 0.85] from 1.783 to 5.631 seconds
	Integrated [0.85, 0.97] from 1.786 to 5.508 seconds
	Integrated [0.97, 1.09] from 1.790 to 5.599 seconds
	Integrated [1.09, 1.21] from 1.791 to 5.636 seconds
	Integrated [1.21, 1.33] from 1.793 to 5.572 seconds
	Integrated [1.33, 1.45] from 1.801 to 5.609 seconds
	Integrated [1.45, 1.57] from 1.804 to 5.782 seconds
Threadpool with n_jobs=14 executed in 20.76850 seconds, res=1.0000000069982324
	Integrated [0.00, 0.11] from 0.000 to 19.983 seconds
	Integrated [0.11, 0.22] from 0.019 to 19.402 seconds
	Integrated [0.22, 0.34] from 0.044 to 20.717 seconds
	Integrated [0.34, 0.45] from 0.094 to 19.866 seconds
	Integrated [0.45, 0.56] from 0.119 to 18.073 seconds
	Integrated [0.56, 0.67] from 0.182 to 19.777 seconds
	Integrated [0.67, 0.79] from 0.298 to 20.343 seconds
	Integrated [0.79, 0.90] from 0.347 to 20.497 seconds
	Integrated [0.90, 1.01] from 0.425 to 19.083 seconds
	Integrated [1.01, 1.12] from 0.562 to 20.640 seconds
	Integrated [1.12, 1.23] from 0.681 to 20.382 seconds
	Integrated [1.23, 1.35] from 0.762 to 20.768 seconds
	Integrated [1.35, 1.46] from 0.988 to 20.647 seconds
	Integrated [1.46, 1.57] from 1.214 to 20.693 seconds
Processpool with n_jobs=14 executed in 6.51571 seconds, res=1.0000000069982324
	Integrated [0.00, 0.11] from 1.771 to 5.805 seconds
	Integrated [0.11, 0.22] from 1.810 to 5.649 seconds
	Integrated [0.22, 0.34] from 1.823 to 5.744 seconds
	Integrated [0.34, 0.45] from 1.861 to 5.669 seconds
	Integrated [0.45, 0.56] from 1.867 to 5.696 seconds
	Integrated [0.56, 0.67] from 1.876 to 5.704 seconds
	Integrated [0.67, 0.79] from 1.880 to 5.832 seconds
	Integrated [0.79, 0.90] from 1.887 to 5.772 seconds
	Integrated [0.90, 1.01] from 1.907 to 5.855 seconds
	Integrated [1.01, 1.12] from 1.915 to 5.942 seconds
	Integrated [1.12, 1.23] from 1.926 to 5.816 seconds
	Integrated [1.23, 1.35] from 1.927 to 5.908 seconds
	Integrated [1.35, 1.46] from 1.933 to 5.885 seconds
	Integrated [1.46, 1.57] from 1.955 to 5.832 seconds
Threadpool with n_jobs=15 executed in 20.74770 seconds, res=1.0000000069982473
	Integrated [0.00, 0.10] from 0.000 to 18.825 seconds
	Integrated [0.10, 0.21] from 0.019 to 18.903 seconds
	Integrated [0.21, 0.31] from 0.050 to 20.065 seconds
	Integrated [0.31, 0.42] from 0.069 to 19.814 seconds
	Integrated [0.42, 0.52] from 0.107 to 19.016 seconds
	Integrated [0.52, 0.63] from 0.157 to 20.164 seconds
	Integrated [0.63, 0.73] from 0.277 to 20.433 seconds
	Integrated [0.73, 0.84] from 0.400 to 18.688 seconds
	Integrated [0.84, 0.94] from 0.507 to 19.967 seconds
	Integrated [0.94, 1.05] from 0.637 to 20.719 seconds
	Integrated [1.05, 1.15] from 0.674 to 20.401 seconds
	Integrated [1.15, 1.26] from 0.737 to 20.653 seconds
	Integrated [1.26, 1.36] from 0.791 to 20.515 seconds
	Integrated [1.36, 1.47] from 0.876 to 20.747 seconds
	Integrated [1.47, 1.57] from 0.945 to 20.359 seconds
Processpool with n_jobs=15 executed in 6.79494 seconds, res=1.0000000069982473
	Integrated [0.00, 0.10] from 1.915 to 5.978 seconds
	Integrated [0.10, 0.21] from 1.926 to 6.133 seconds
	Integrated [0.21, 0.31] from 1.976 to 6.159 seconds
	Integrated [0.31, 0.42] from 2.014 to 6.093 seconds
	Integrated [0.42, 0.52] from 2.017 to 6.124 seconds
	Integrated [0.52, 0.63] from 2.019 to 6.233 seconds
	Integrated [0.63, 0.73] from 2.021 to 6.025 seconds
	Integrated [0.73, 0.84] from 2.030 to 6.246 seconds
	Integrated [0.84, 0.94] from 2.035 to 6.113 seconds
	Integrated [0.94, 1.05] from 2.037 to 6.239 seconds
	Integrated [1.05, 1.15] from 2.044 to 6.136 seconds
	Integrated [1.15, 1.26] from 2.045 to 6.136 seconds
	Integrated [1.26, 1.36] from 2.049 to 6.167 seconds
	Integrated [1.36, 1.47] from 2.052 to 6.222 seconds
	Integrated [1.47, 1.57] from 2.063 to 6.105 seconds
Threadpool with n_jobs=16 executed in 20.78207 seconds, res=1.000000006998256
	Integrated [0.00, 0.10] from 0.000 to 19.659 seconds
	Integrated [0.10, 0.20] from 0.018 to 19.243 seconds
	Integrated [0.20, 0.29] from 0.043 to 19.957 seconds
	Integrated [0.29, 0.39] from 0.074 to 19.777 seconds
	Integrated [0.39, 0.49] from 0.105 to 18.689 seconds
	Integrated [0.49, 0.59] from 0.124 to 19.743 seconds
	Integrated [0.59, 0.69] from 0.192 to 18.744 seconds
	Integrated [0.69, 0.79] from 0.245 to 19.576 seconds
	Integrated [0.79, 0.88] from 0.330 to 20.039 seconds
	Integrated [0.88, 0.98] from 0.355 to 20.590 seconds
	Integrated [0.98, 1.08] from 0.423 to 19.735 seconds
	Integrated [1.08, 1.18] from 0.447 to 20.536 seconds
	Integrated [1.18, 1.28] from 0.520 to 20.781 seconds
	Integrated [1.28, 1.37] from 0.583 to 20.272 seconds
	Integrated [1.37, 1.47] from 0.748 to 20.323 seconds
	Integrated [1.47, 1.57] from 1.337 to 20.780 seconds
Processpool with n_jobs=16 executed in 7.27921 seconds, res=1.000000006998256
	Integrated [0.00, 0.10] from 2.113 to 6.280 seconds
	Integrated [0.10, 0.20] from 2.143 to 6.513 seconds
	Integrated [0.20, 0.29] from 2.184 to 6.511 seconds
