Threadpool with n_jobs=1 executed in 20.24575 seconds, res=1.000000006998454
Threadpool with n_jobs=2 executed in 20.28426 seconds, res=1.0000000069982113
Threadpool with n_jobs=3 executed in 20.24736 seconds, res=1.0000000069983315
Threadpool with n_jobs=4 executed in 20.52809 seconds, res=1.000000006998326
Threadpool with n_jobs=5 executed in 20.55886 seconds, res=1.0000000069982649
Threadpool with n_jobs=6 executed in 20.68724 seconds, res=1.0000000069983292
Threadpool with n_jobs=7 executed in 20.68975 seconds, res=1.0000000069982484
Threadpool with n_jobs=8 executed in 21.07096 seconds, res=1.0000000069982864
Threadpool with n_jobs=9 executed in 20.72179 seconds, res=1.000000006998218
Threadpool with n_jobs=10 executed in 20.86394 seconds, res=1.00000000699826
Threadpool with n_jobs=11 executed in 20.92181 seconds, res=1.000000006998234
Threadpool with n_jobs=12 executed in 21.66337 seconds, res=1.000000006998275
Threadpool with n_jobs=13 executed in 20.75969 seconds, res=1.0000000069982318
Threadpool with n_jobs=14 executed in 20.76850 seconds, res=1.0000000069982324
Threadpool with n_jobs=15 executed in 20.74770 seconds, res=1.0000000069982473
Threadpool with n_jobs=16 executed in 20.78207 seconds, res=1.000000006998256
Threadpool with n_jobs=17 executed in 20.76591 seconds, res=1.0000000069982264
Threadpool with n_jobs=18 executed in 20.76828 seconds, res=1.0000000069982276
Threadpool with n_jobs=19 executed in 20.74342 seconds, res=1.0000000069982655
Threadpool with n_jobs=20 executed in 21.04680 seconds, res=1.0000000069982364
Threadpool with n_jobs=21 executed in 20.84823 seconds, res=1.0000000069982455
Threadpool with n_jobs=22 executed in 20.87337 seconds, res=1.0000000069982402
Threadpool with n_jobs=23 executed in 20.95615 seconds, res=1.0000000069982462
Threadpool with n_jobs=24 executed in 20.69333 seconds, res=1.000000006998256
Threadpool with n_jobs=25 executed in 20.61371 seconds, res=1.0000000069982393
Threadpool with n_jobs=26 executed in 20.53270 seconds, res=1.0000000069982435
Threadpool with n_jobs=27 executed in 20.69050 seconds, res=1.0000000069982289
Threadpool with n_jobs=28 executed in 20.68331 seconds, res=1.0000000069982198
Threadpool with n_jobs=29 executed in 20.60553 seconds, res=1.000000006998242
Threadpool with n_jobs=30 executed in 20.65176 seconds, res=1.0000000069982384
Threadpool with n_jobs=31 executed in 20.52415 seconds, res=1.0000000069982413
Threadpool with n_jobs=32 executed in 20.47672 seconds, res=1.0000000069982375

Processpool with n_jobs=1 executed in 21.17906 seconds, res=1.000000006998454
Processpool with n_jobs=2 executed in 12.36824 seconds, res=1.0000000069982113
Processpool with n_jobs=3 executed in 9.07725 seconds, res=1.0000000069983315
Processpool with n_jobs=4 executed in 7.42616 seconds, res=1.000000006998326
Processpool with n_jobs=5 executed in 6.51593 seconds, res=1.0000000069982649
Processpool with n_jobs=6 executed in 5.88867 seconds, res=1.0000000069983292
Processpool with n_jobs=7 executed in 5.41146 seconds, res=1.0000000069982484
Processpool with n_jobs=8 executed in 5.34259 seconds, res=1.0000000069982864
Processpool with n_jobs=9 executed in 5.37720 seconds, res=1.000000006998218
Processpool with n_jobs=10 executed in 5.89420 seconds, res=1.00000000699826
Processpool with n_jobs=11 executed in 5.91723 seconds, res=1.000000006998234
Processpool with n_jobs=12 executed in 6.12633 seconds, res=1.000000006998275
Processpool with n_jobs=13 executed in 6.23473 seconds, res=1.0000000069982318
Processpool with n_jobs=14 executed in 6.51571 seconds, res=1.0000000069982324
Processpool with n_jobs=15 executed in 6.79494 seconds, res=1.0000000069982473
Processpool with n_jobs=16 executed in 7.27921 seconds, res=1.000000006998256
Processpool with n_jobs=17 executed in 7.61053 seconds, res=1.0000000069982264
Processpool with n_jobs=18 executed in 7.70306 seconds, res=1.0000000069982276
Processpool with n_jobs=19 executed in 7.98061 seconds, res=1.0000000069982655
Processpool with n_jobs=20 executed in 7.97743 seconds, res=1.0000000069982364
Processpool with n_jobs=21 executed in 8.41531 seconds, res=1.0000000069982455
Processpool with n_jobs=22 executed in 8.69371 seconds, res=1.0000000069982402
Processpool with n_jobs=23 executed in 9.00513 seconds, res=1.0000000069982462
Processpool with n_jobs=24 executed in 8.72495 seconds, res=1.000000006998256
Processpool with n_jobs=25 executed in 8.74855 seconds, res=1.0000000069982393
Processpool with n_jobs=26 executed in 8.48019 seconds, res=1.0000000069982435
Processpool with n_jobs=27 executed in 8.69193 seconds, res=1.0000000069982289
Processpool with n_jobs=28 executed in 8.83518 seconds, res=1.0000000069982198
Processpool with n_jobs=29 executed in 9.06732 seconds, res=1.000000006998242
Processpool with n_jobs=30 executed in 9.23294 seconds, res=1.0000000069982384
Processpool with n_jobs=31 executed in 9.46415 seconds, res=1.0000000069982413
Processpool with n_jobs=32 executed in 9.67653 seconds, res=1.0000000069982375
